areas,bathrooms,bedrooms,latitude,longitude,r$_pmo,coord
47.0,2.0,2.0,-22.8861097,-43.2879583,1400,"(-22.8861097, -43.2879583)"
50.0,2.0,2.0,-22.921267800000006,-43.2555654,1400,"(-22.921267800000006, -43.2555654)"
57.0,2.0,2.0,-22.94624115,-43.557178065955135,1250,"(-22.94624115, -43.557178065955135)"
90.0,3.0,3.0,-23.0188373,-43.4620261,1800,"(-23.0188373, -43.4620261)"
58.0,2.0,2.0,-22.9243708,-43.208937,1477,"(-22.9243708, -43.208937)"
110.0,3.0,3.0,-22.8946047,-43.3549007,1200,"(-22.8946047, -43.3549007)"
45.0,2.0,1.0,-22.9913592,-43.2675329,1600,"(-22.9913592, -43.2675329)"
60.0,1.0,2.0,-22.928988,-43.3534191,1100,"(-22.928988, -43.3534191)"
380.0,3.0,4.0,-22.9803652,-43.2139765,15000,"(-22.9803652, -43.2139765)"
70.0,2.0,1.0,-22.9215236,-43.2482053,1300,"(-22.9215236, -43.2482053)"
316.0,6.0,3.0,-23.0048388,-43.3662798,22000,"(-23.0048388, -43.3662798)"
154.0,3.0,3.0,-22.9408899,-43.342256400000004,3200,"(-22.9408899, -43.342256400000004)"
278.0,5.0,4.0,-23.0048388,-43.3662798,13000,"(-23.0048388, -43.3662798)"
64.0,1.0,2.0,-22.9777504,-43.222481,2300,"(-22.9777504, -43.222481)"
176.0,3.0,4.0,-22.9434938,-43.1613911,9000,"(-22.9434938, -43.1613911)"
373.0,4.0,4.0,-10.8040231,-37.1658336,8000,"(-10.8040231, -37.1658336)"
50.0,,1.0,-22.9755839,-43.193523600000006,2800,"(-22.9755839, -43.193523600000006)"
48.0,1.0,2.0,-22.9392459,-43.3212971,950,"(-22.9392459, -43.3212971)"
88.0,1.0,2.0,-22.9777288,-43.224805,3100,"(-22.9777288, -43.224805)"
70.0,1.0,2.0,-22.9219495,-43.2345965,2900,"(-22.9219495, -43.2345965)"
70.0,1.0,1.0,-22.9766415,-43.188297,3000,"(-22.9766415, -43.188297)"
80.0,1.0,2.0,-22.9233439,-43.2640862,1550,"(-22.9233439, -43.2640862)"
89.0,2.0,2.0,-22.8917275,-43.2826428,1500,"(-22.8917275, -43.2826428)"
100.0,2.0,3.0,-22.9642979,-43.1771955,2200,"(-22.9642979, -43.1771955)"
40.0,1.0,2.0,-22.9319478,-43.1969954,1200,"(-22.9319478, -43.1969954)"
55.0,1.0,2.0,-22.9248493,-43.3596031,1300,"(-22.9248493, -43.3596031)"
125.0,2.0,3.0,-23.0149238,-43.407209,4800,"(-23.0149238, -43.407209)"
61.0,1.0,2.0,-22.91750395,-43.395577716649846,800,"(-22.91750395, -43.395577716649846)"
200.0,,3.0,-22.9766415,-43.188297,7000,"(-22.9766415, -43.188297)"
200.0,,4.0,-22.953218300000003,-43.1695399,8000,"(-22.953218300000003, -43.1695399)"
70.0,1.0,3.0,-22.898572100000006,-43.2689279,850,"(-22.898572100000006, -43.2689279)"
55.0,2.0,2.0,-22.9573209,-43.3434716,1100,"(-22.9573209, -43.3434716)"
85.0,3.0,3.0,-22.915698100000004,-43.2319433,1890,"(-22.915698100000004, -43.2319433)"
250.0,1.0,3.0,-22.9766415,-43.188297,7900,"(-22.9766415, -43.188297)"
22.0,1.0,1.0,-30.0342118,-51.2393593,780,"(-30.0342118, -51.2393593)"
110.0,1.0,3.0,-22.9808194,-43.1910909,1500,"(-22.9808194, -43.1910909)"
58.0,1.0,2.0,-22.9519909,-43.3872901,1200,"(-22.9519909, -43.3872901)"
70.0,2.0,1.0,-22.9607745,-43.2028991,2500,"(-22.9607745, -43.2028991)"
291.0,,4.0,-23.0149238,-43.407209,10000,"(-23.0149238, -43.407209)"
135.0,2.0,3.0,-22.91525,-43.2102423,2000,"(-22.91525, -43.2102423)"
90.0,2.0,2.0,-22.9848957,-43.1952136,8000,"(-22.9848957, -43.1952136)"
150.0,,4.0,-23.0149238,-43.407209,8500,"(-23.0149238, -43.407209)"
98.0,2.0,2.0,-22.9396309,-43.182965,1900,"(-22.9396309, -43.182965)"
50.0,1.0,2.0,-22.8735279,-43.30844550000001,700,"(-22.8735279, -43.30844550000001)"
72.0,2.0,3.0,-22.948937,-43.3408375,1500,"(-22.948937, -43.3408375)"
70.0,2.0,2.0,-22.9332164,-43.2381453,1500,"(-22.9332164, -43.2381453)"
269.0,2.0,3.0,-22.9282465,-43.170790419174786,10900,"(-22.9282465, -43.170790419174786)"
51.0,1.0,2.0,-22.9243928,-43.3739849,1850,"(-22.9243928, -43.3739849)"
50.0,1.0,1.0,-22.9719642,-43.1843432,2500,"(-22.9719642, -43.1843432)"
70.0,1.0,2.0,-22.937072600000004,-43.3354416,1300,"(-22.937072600000004, -43.3354416)"
400.0,,4.0,-22.98679,-43.2200859,40000,"(-22.98679, -43.2200859)"
