address,areas,bathrooms,bedrooms,parking-spaces,zap_price_pmo,zap_price_cls,zap_price_iptu,latitude,longitude,street,neighborhood,r$_pmo,usd_pmo
"Rua Miguel Lemos, Copacabana",82 m²,1.0,3.0,,R$ 2.200 /mês,condomínio R$ 918,IPTU R$ 245,-22.9778117,-43.191251799999996,Rua Miguel Lemos, Copacabana,2200,511.38
"Avenida Vice-Presidente José Alencar, Jacarepaguá",93 m²,3.0,3.0,1.0,R$ 3.400 /mês,condomínio R$ 1.400,IPTU R$ 200,-22.9662234,-43.382768799999994,Avenida Vice-Presidente José Alencar, Jacarepaguá,3400,790.32
"Rua Conde Afonso Celso, Jardim Botânico",94 m²,2.0,2.0,,R$ 4.200 /mês,condomínio R$ 700,IPTU R$ 220,-22.963023,-43.21633610000001,Rua Conde Afonso Celso, Jardim Botânico,4200,976.27
"Rua Laura Teles, Tanque",64 m²,3.0,3.0,1.0,R$ 1.200 /mês,condomínio R$ 870,IPTU R$ 65,-22.925552399999997,-43.3620285,Rua Laura Teles, Tanque,1200,278.94
"Rua Inhanga, Copacabana",370 m²,5.0,5.0,1.0,R$ 9.500 /mês,condomínio R$ 2.500,IPTU R$ 1.000,-22.966940100000002,-43.181606200000004,Rua Inhanga, Copacabana,9500,2208.24
"Avenida Oswaldo Cruz, Flamengo",380 m²,3.0,3.0,2.0,R$ 4.000 /mês,condomínio R$ 3.674,IPTU R$ 1.054,-22.9393527,-43.1745967,Avenida Oswaldo Cruz, Flamengo,4000,929.78
"Avenida Ataulfo de Paiva, Leblon",112 m²,3.0,4.0,1.0,R$ 3.000 /mês,condomínio R$ 1.870,IPTU R$ 455,-22.984592000000003,-43.2241076,Avenida Ataulfo de Paiva, Leblon,3000,697.34
"Rua José Bonifácio, Todos os Santos",65 m²,1.0,2.0,,R$ 1.500 /mês,condomínio R$ 150,IPTU R$ 450,-22.8931641,-43.2827591,Rua José Bonifácio, Todos os Santos,1500,348.67
"Rua Dona Mariana, Botafogo",77 m²,3.0,2.0,1.0,R$ 3.500 /mês,condomínio R$ 1.526,IPTU R$ 302,-22.953016899999998,-43.1885829,Rua Dona Mariana, Botafogo,3500,813.56
"Rua das Amendoeiras, Cosmos",50 m²,1.0,2.0,1.0,R$ 1.200 /mês,condomínio R$ 180,,-22.9191815,-43.6155325,Rua das Amendoeiras, Cosmos,1200,278.94
