,price,bathroom,coord,bhk,sqft,class
422,60000.0,,"(78.2908484, 17.4536307)",4.0,4000.0,0.0
423,50000.0,4.0,"(17.362971899999998, 78.39432629999997)",6.0,400.0,0.0
424,42000.0,,"(78.37323, 17.40896)",3.0,2112.0,0.0
425,35000.0,,"(78.488664, 17.561249)",4.0,220.0,0.0
426,16900.0,1.0,"(78.43824768066409, 17.4164714813232)",2.0,850.0,0.0
427,50000.0,3.0,"(78.39216613769531, 17.439111709594727)",3.0,2600.0,0.0
428,7000.0,1.0,"(78.58563232421875, 17.419488906860348)",1.0,2.0,0.0
429,9000.0,1.0,"(78.4677734375, 17.444341659545902)",1.0,,0.0
430,10000.0,2.0,"(17.519667499999994, 78.3778542)",2.0,950.0,0.0
431,14000.0,2.0,"(17.497722, 78.3944485)",2.0,1225.0,0.0
432,25000.0,3.0,"(17.495289899999996, 78.3419955)",3.0,1800.0,0.0
433,34000.0,3.0,"(17.4153172, 78.3556287)",3.0,1575.0,0.0
434,23000.0,2.0,"(78.4766761068625, 17.50314615841918)",2.0,1700.0,0.0
435,23000.0,3.0,"(78.35891723632812, 17.467628479003903)",3.0,1560.0,0.0
436,11000.0,2.0,"(78.320068359375, 17.497774124145508)",2.0,1000.0,0.0
437,28000.0,,"(78.33770600000003, 17.492307)",3.0,1685.0,0.0
438,18000.0,,"(78.3543784573907, 17.5012253938033)",2.0,1182.0,0.0
439,25000.0,2.0,"(17.396930694580078, 78.33522033691406)",2.0,1270.0,0.0
440,25000.0,3.0,"(78.49585723876953, 17.40884017944336)",3.0,1750.0,0.0
441,14750.0,3.0,"(17.507958399999996, 78.3021871)",3.0,1800.0,0.0
442,7500.0,1.0,"(79.05160522460938, 18.022172927856445)",3.0,900.0,0.0
443,7000.0,2.0,"(17.308860199999998, 78.50623619999998)",2.0,850.0,0.0
444,7500.0,,"(78.350549, 17.527457000000002)",1.0,,0.0
445,13000.0,2.0,"(78.49024200439453, 17.474363327026367)",3.0,1071.0,0.0
446,13000.0,2.0,"(78.43169403076172, 17.368194580078125)",2.0,1000.0,0.0
447,20000.0,3.0,"(78.4539794921875, 17.45847511291504)",3.0,1100.0,0.0
448,14000.0,1.0,"(78.35317993164062, 17.462682723999027)",1.0,,0.0
449,27000.0,2.0,"(78.40977478027344, 17.432273864746097)",2.0,1800.0,0.0
450,45100.0,2.0,"(78.38066864013672, 17.44605827331543)",2.0,900.0,0.0
451,12500.0,2.0,"(78.37924194335938, 17.513299942016598)",2.0,1250.0,0.0
452,17000.0,2.0,"(78.43576049804688, 17.415895462036133)",1.0,,0.0
453,45000.0,3.0,"(78.40977478027344, 17.432273864746097)",3.0,2100.0,0.0
454,20000.0,3.0,"(17.4955379, 78.35702909999998)",3.0,1550.0,0.0
455,17000.0,2.0,"(78.40647888183594, 17.403312683105472)",2.0,1470.0,0.0
456,10500.0,2.0,"(17.4415837, 78.2785379)",2.0,180.0,0.0
457,10000.0,1.0,"(17.495289899999996, 78.3419955)",1.0,,0.0
458,18000.0,,"(78.4009025362718, 17.446831810877992)",2.0,,0.0
459,17000.0,2.0,"(17.40127, 78.41479249999998)",2.0,1325.0,0.0
