Avg. Rate,Configs,Possession Date,location,price,title,Avg. Price,Built Up Area,Possession Status,Plot Area
13.5k per sqft.,"2, 2.5, 3 BHK Apartments","Mar, 2018","Andheri East, Mumbai",1.47 Cr - 2.4 Cr,Hubtown Hillcrest,,,,
21k per sqft.,"1, 1.5, 2, 2.5 BHK Apartments","Dec, 2020","Chembur, Mumbai",89.06 L - 2.19 Cr,Akshay Paradise,,,,
,,"29th Jun, 2021","Bhandup West, Mumbai",1.1 Cr,2 BHK Apartment, 11.92k / sqft.,923 sqft.,,
,,,"Ghatkopar West, Mumbai",1.85 Cr,2 BHK Apartment, 18.5k / sqft.,1000 sqft.,,
,,"30th Dec, 2026","Wadala, Mumbai",1.48 Cr,2 BHK Apartment, 22.53k / sqft.,657 sqft.,,
,,,"Khar West, Mumbai",9.25 Cr,4 BHK Apartment, 46.25k / sqft.,2000 sqft.,,
,,,"Juhu, Mumbai",9.0 Cr,4 BHK Apartment, 41.67k / sqft.,2160 sqft.,,
,"2, 3 BHK Apartments","Dec, 2018","Kandivali East, Mumbai",1.25 Cr - 1.71 Cr,Shapoorji Pallonji Alpine,,,,
,"1, 2 BHK Apartments","Dec, 2023","Borivali East, Mumbai",75.0 L - 1.27 Cr,Chandak Nishchay Wing F,,,,
25k per sqft.,2 BHK Apartment,"Jul, 2020","Cuffe Parade, Mumbai",1.54 Cr - 1.71 Cr,CH BT Sujata CHSL,,,,
13.56k per sqft.,"1, 2 BHK Apartments","Dec, 2023","Shivaji Nagar, Mumbai",51.54 L - 71.76 L,Ratnaakar Aventus Heights,,,,
