price,title,longitude,latitude,floor,furnishing,tenants preferred,bathroom,facing,availability,car parking,balcony,owner resides,overlooking
"₹ 35,000","3 BHK Apartment for rent in Chetpet, PH Road 1548 sqft",13.07262134552002,80.2421646118164,5 out of 8 Floors,Furnished,Bachelors,2,North,Immediately,,2,,"Garden/Park, Main Road"
"₹ 35,000",3 BHK Apartment for rent in KK Nagar 1850 sqft,13.057479858398438,80.22500610351562,1 out of 4 Floors,Unfurnished,Bachelors,3,South - East,Immediately,"2 Covered, 1 Open",2,,"Garden/Park, Main Road"
"₹ 18,000",4 BHK House for rent in Pallikaranai 1800 sqft,,,1 out of 2 Floors,Semi-Furnished,Family,3,West,Immediately,1 Covered,1,,Main Road
"₹ 20,000","3 BHK Apartment for rent in Akshaya Metropolis, Maraimalai Nagar 1749 sqft",12.7741438150406,80.0112444162369,,,,,,,,,,
"₹ 12,000",2 BHK Builder Floor for rent in Kodambakkam 800 sqft,,,1 out of 3 Floors,Semi-Furnished,Bachelors/Family,2,,Immediately,,1,,
"₹ 15,000","2 BHK House for rent in Amman Nagar, Keelakattalai 920 sqft",13.02522874278411,80.18945824081425,Ground out of 2 Floors,Unfurnished,Bachelors/Family,3,,Immediately,1 Covered,2,,Main Road
"₹ 17,000",2 BHK Apartment for rent in Kotivakkam 1000 sqft,12.938996315002441,80.24339294433594,Ground out of 8 Floors,Unfurnished,Bachelors,2,East,Immediately,,1,,
"₹ 3,500",1 BHK House for rent in Porur,10.075729370117188,78.79412841796875,2 out of 2 Floors,Unfurnished,Bachelors/Family,1,North,Immediately,,,,Main Road
"₹ 45,000",3 BHK Apartment for rent in Shastri Nagar-Adyar 1900 sqft,12.999527931213379,80.25957489013672,3 out of 3 Floors,Unfurnished,Bachelors,3,East,Immediately,"1 Covered, 1 Open",3,,Main Road
"₹ 28,000","3 BHK Apartment for rent in Ankur Palm Springs, Padi 1500 sqft",13.10046,80.1891868067028,,,,,,,,,,
"₹ 70,000",3 BHK House for rent in T Nagar 2700 sqft,,,,Unfurnished,Bachelors/Family,4,North,Immediately,1 Covered,2,,
"₹ 35,000",3 BHK Builder Floor for rent in Anna Nagar West 1800 sqft,13.057525634765625,80.22505950927734,3 out of 3 Floors,Unfurnished,Bachelors,2,West,Immediately,"1 Covered, 1 Open",1,,"Garden/Park, Main Road"
"₹ 10,000",2 BHK Apartment for rent in Tambaram East 950 sqft,13.04335880279541,80.2005844116211,1 out of 2 Floors,Unfurnished,Bachelors,2,North,Immediately,,,,
"₹ 15,000","2 BHK Apartment for rent in Chromepet, GST Road 1026 sqft",13.04335880279541,80.2005844116211,2 out of 4 Floors,Semi-Furnished,Bachelors,2,North - East,Immediately,"1 Covered, 1 Open",1,,
"₹ 15,000",2 BHK House for rent in K.K. Nagar 850 sqft,,,Ground out of 2 Floors,Semi-Furnished,Bachelors/Family,2,,Immediately,,,,
"₹ 13,500","2 BHK Apartment for rent in Rajparis Crystal Spring, Medavakkam 910 sqft",12.88958,80.1743483333333,,,,,,,,,,
"₹ 16,000",2 BHK Apartment for rent in SALIGRAMAM LOGAIYA COLONY 900 sqft,,,1 out of 1 Floor,Semi-Furnished,Bachelors/Family,2,,Immediately,,1,,
"₹ 26,000",2 BHK Apartment for rent in T Nagar 1300 sqft,13.051987648010254,80.2333984375,Ground out of 5 Floors,Semi-Furnished,Bachelors,2,East,Immediately,,,,Garden/Park
"₹ 8,000",2 BHK House for rent in Anakaputhur 860 sqft,,,,Unfurnished,Bachelors/Family,2,,Immediately,1 Covered,,,
"₹ 26,000",2 BHK Apartment for rent in Gopalapuram 1300 sqft,13.064058303833008,80.18938446044922,1 out of 4 Floors,Unfurnished,Bachelors,2,North,Immediately,1 Covered,1,,Main Road
"₹ 33,000",2 BHK Apartment for rent in T Nagar 1150 sqft,13.063887596130371,80.18937683105469,1 out of 3 Floors,Unfurnished,Bachelors,2,East,Immediately,1 Covered,1,,"Garden/Park, Main Road"
"₹ 25,000",3 BHK Villa for rent in Nanganallur 1600 sqft,,,,Semi-Furnished,Bachelors/Family,3,,Immediately,,,,
"₹ 9,000",2 BHK House for rent in Tambaram East 1100 sqft,,,,Unfurnished,Bachelors/Family,2,West,Immediately,,,Same Premise,Main Road
"₹ 14,000",3 BHK Apartment for rent in Pudupakkam 1600 sqft,,,,Semi-Furnished,Bachelors/Family,3,,Immediately,,,,
"₹ 12,000",2 BHK Apartment for rent in Avadi 907 sqft,,,10 out of 10 Floors,Semi-Furnished,Bachelors/Family,2,South,Immediately,,,,
"₹ 38,000",2 BHK Builder Floor for rent in Thiruvanmiyur 1300 sqft,,,3 out of 4 Floors,Furnished,Bachelors,2,South,Immediately,1 Covered,2,,Garden/Park
"₹ 13,000",2 BHK Builder Floor for rent in Medavakkam 1080 sqft,12.917142868042,80.1923522949219,2 out of 2 Floors,Semi-Furnished,Bachelors/Family,2,South,Immediately,,,,Main Road
"₹ 8,500","1 BHK House for rent in Ramapuram, PH Road",13.0335838304034,80.17313024568061,2 out of 2 Floors,Unfurnished,Family,2,South,Immediately,,1,Same Premise,
"₹ 18,000",3 BHK Villa for rent in Madipakkam 1750 sqft,,,,Semi-Furnished,Family,3,North,Immediately,1 Open,,,
"₹ 36,000",2 BHK Apartment for rent in Gopalapuram 1300 sqft,13.064058303833008,80.18939971923828,2 out of 3 Floors,Unfurnished,Bachelors,2,East,Immediately,1 Covered,,,"Garden/Park, Main Road"
"₹ 30,000",2 BHK Apartment for rent in Gopalapuram 1350 sqft,13.063908576965332,80.18941497802734,2 out of 4 Floors,Unfurnished,Bachelors,2,North,Immediately,1 Covered,1,,"Garden/Park, Main Road"
"₹ 30,000","2 BHK Apartment for rent in R.A Puram, Mandaiveli 1100 sqft",13.064046859741211,80.18939208984375,2 out of 3 Floors,Unfurnished,Bachelors,2,East,Immediately,1 Covered,,,"Garden/Park, Main Road"
"₹ 20,000",2 BHK House for rent in abhiramapuram 1200 sqft,,,1 out of 1 Floor,Semi-Furnished,Family,2,South,Immediately,,,Same Premise,
"₹ 18,000",3 BHK Apartment for rent in Siruseri 1334 sqft,,,3 out of 3 Floors,Semi-Furnished,Bachelors/Family,3,,Immediately,,,,
"₹ 7,500",1 BHK House for rent in Puthagaram,,,Ground out of 2 Floors,Semi-Furnished,Bachelors/Family,1,East,Immediately,,,,
"₹ 10,000",1 BHK House for rent in Choolaimedu,,,2 out of 3 Floors,Unfurnished,Bachelors/Family,2,,Immediately,,,,
"₹ 11,000",3 BHK Apartment for rent in Nandivaram-Guduvancheri 1000 sqft,,,2 out of 4 Floors,Unfurnished,Bachelors/Family,2,North,Immediately,,1,,Pool
"₹ 7,000","2 BHK Apartment for rent in Srisha Manor, Guduvancheri 758 sqft",12.8321515,80.0723773,,,,,,,,,,
"₹ 12,000","2 BHK Builder Floor for rent in Zamin Pallavaram, Pallavaram 900 sqft",,,4 out of 4 Floors,Semi-Furnished,Bachelors/Family,2,,Immediately,,1,,
"₹ 15,000","3 BHK House for rent in Puzhuthivakkam, Madipakkam 1350 sqft",12.970059394836426,80.19371032714844,1 out of 1 Floor,Unfurnished,Family,2,North,Immediately,,2,,
"₹ 10,000",2 BHK House for rent in Sithalapakkam 900 sqft,,,,Unfurnished,Bachelors/Family,2,,Immediately,1 Covered,,,
"₹ 40,000",5 BHK Villa for rent in Chennai 4800 sqft,,,,Semi-Furnished,Family,5,,Immediately,3 Covered,5,,Garden/Park
"₹ 10,999","Studio Apartment for rent in Vannanthurai, Adyar",12.997015953063965,80.26214599609375,2 out of 2 Floors,Furnished,Bachelors/Family,1,West,Immediately,,1,,Main Road
"₹ 9,500",2 BHK Builder Floor for rent in Medavakkam 700 sqft,,,2 out of 2 Floors,Unfurnished,Family,2,,Immediately,1 Covered,1,,
"₹ 22,500","2 BHK Builder Floor for rent in Jayendra Colony, Perungudi 1200 sqft",12.970717,80.2482284,,,,,,,,,,
"₹ 35,000","3 BHK Apartment for rent in Akshaya Metropolis, Maraimalai Nagar 1956 sqft",12.7741438150406,80.0112444162369,,,,,,,,,,
"₹ 8,000",2 BHK House for rent in avadi kovilpathagai 1000 sqft,13.140547752380371,80.10897064208984,1 out of 1 Floor,Semi-Furnished,Bachelors/Family,2,,Immediately,,1,,
"₹ 9,000","1 BHK House for rent in TNGO Colony, Adambakkam",13.029808044433594,80.15867614746094,Ground out of 2 Floors,Unfurnished,Bachelors,1,East,Immediately,,,,Main Road
"₹ 16,000","2 BHK Apartment for rent in New Haven Ribbon Walk Phase 1, Mambakkam 1152 sqft",12.836018,80.156172,,,,,,,,,,
"₹ 15,000",1 BHK Apartment for rent in Nungambakkam,,,1 out of 6 Floors,Furnished,Bachelors/Family,1,,Immediately,"1 Covered, 1 Open",1,,
"₹ 8,000","1 BHK House for rent in Ganesh Nagar, Madipakkam",12.997197151184082,80.21047973632812,Lower Basement out of 1 Floor,Semi-Furnished,Bachelors,1,,Immediately,1 Covered,,Same Premise,Main Road
"₹ 17,000","2 BHK House for rent in Palavakkam, E Coast Road 985 sqft",,,1 out of 2 Floors,Unfurnished,Bachelors/Family,1,,Immediately,1 Open,1,,Main Road
"₹ 8,000","1 BHK House for rent in CBI Colony, Medavakkam",,,1 out of 1 Floor,Unfurnished,Family,1,South,Immediately,1 Covered,,,Garden/Park
"₹ 20,000",1 BHK Apartment for rent in Thiruvanmiyur,12.97480297088623,80.30760192871094,1 out of 3 Floors,Semi-Furnished,Bachelors,1,North,Immediately,,1,,"Garden/Park, Main Road"
"₹ 50,000","3 BHK Apartment for rent in The Atrium, Thiruvanmiyur 1600 sqft",12.9900237298152,80.2582754284445,,,,,,,,,,
"₹ 18,000",4 BHK House for rent in Madambakkam 2400 sqft,,,Ground out of 2 Floors,Semi-Furnished,Bachelors,5,East,Immediately,,2,,Main Road
"₹ 27,000","2 BHK Apartment for rent in Adyar, Sardar Patel Road",13.003388404846191,80.25928497314453,8 out of 10 Floors,Semi-Furnished,Bachelors,2,South - East,Immediately,,2,,"Garden/Park, Main Road"
"₹ 50,000",3 BHK Apartment for rent in Thiruvanmiyur 1700 sqft,12.983258247375488,80.26066589355469,1 out of 4 Floors,Unfurnished,Bachelors,3,North,Immediately,,3,,"Garden/Park, Main Road"
"₹ 35,000",3 BHK Apartment for rent in Kottivakkam,12.969216346740723,80.2613754272461,1 out of 4 Floors,Semi-Furnished,Bachelors,3,East,Immediately,,3,,"Garden/Park, Main Road"
"₹ 22,000","3 BHK Apartment for rent in Purva Windermere, Pallikaranai 2148 sqft",12.930341,80.196754,,,,,,,,,,
"₹ 20,000",2 BHK Builder Floor for rent in nethaji Colony-Velachery 1300 sqft,,,1 out of 2 Floors,Unfurnished,Bachelors,2,East,Immediately,5 Covered,3,,Main Road
"₹ 7,000",1 BHK House for rent in Medavakkam,,,2 out of 2 Floors,Semi-Furnished,Bachelors/Family,1,,Immediately,,1,,
"₹ 7,500",1 BHK Apartment for rent in Madambakkam,12.898984909057617,80.16358184814453,2 out of 3 Floors,Unfurnished,Bachelors,1,North - West,Immediately,,,,"Garden/Park, Main Road"
"₹ 13,000",2 BHK House for rent in Velachery 950 sqft,,,2 out of 3 Floors,Unfurnished,Bachelors,2,North,Immediately,,1,,
