price,title,longitude,latitude,floor,furnishing,tenants preferred,bathroom,balcony,availability,facing,overlooking,car parking,owner resides
"₹ 22,300","2 BHK Apartment for rent in Akshardham Apartments, Dwarka Sector 19 1200 sqft",28.5842028987929,77.044187,,,,,,,,,,
"₹ 70,000",3 BHK Apartment for rent in Vasant Kunj Sector C 2000 sqft,,,1 out of 2 Floors,Unfurnished,Bachelors/Family,2,3,Immediately,North - East,"Garden/Park, Main Road",2 Open,
"₹ 18,000",3 BHK Apartment for rent in Dwarka Sector 16A 1320 sqft,,,2 out of 4 Floors,Semi-Furnished,Bachelors/Family,3,,Immediately,,,,
"₹ 14,000",1 BHK Builder Floor for rent in Pitampura,28.700748443603516,77.14403533935547,Ground out of 4 Floors,Semi-Furnished,Bachelors/Family,1,,Immediately,North,"Garden/Park, Main Road",1 Open,
"₹ 41,000","2 BHK Apartment for rent in Safdarjung Development Area, Hauz Khas 1000 sqft",28.548782348632812,77.19900512695312,1 out of 3 Floors,Unfurnished,Bachelors,2,2,Immediately,North - East,"Garden/Park, Main Road",,
"₹ 33,000","3 BHK Apartment for rent in Rajnigandha Apartments, Dwarka Sector 10 1800 sqft",28.5831769305404,77.062474453326,,,,,,,,,,
"₹ 55,000","3 BHK Apartment for rent in Shivalik, Malviya Nagar 1800 sqft",28.5344181060791,77.20816040039062,1 out of 3 Floors,Furnished,Bachelors,3,2,Immediately,North - East,"Garden/Park, Main Road",,
"₹ 8,000",2 BHK House for rent in Nangli Sakrawati 50 sqyrd,,,2 out of 3 Floors,Unfurnished,Bachelors/Family,2,,Immediately,,,,
"₹ 16,000","2 BHK Builder Floor for rent in Khirki extension, Malviya Nagar 750 sqft",28.53260040283203,77.21614837646484,2 out of 4 Floors,Semi-Furnished,Bachelors,2,1,Immediately,North - East,Main Road,,
"₹ 17,000",1 BHK Builder Floor for rent in Ramesh Nagar,28.649335861206055,77.13431549072266,1 out of 4 Floors,Semi-Furnished,Bachelors/Family,1,1,Immediately,North - East,"Garden/Park, Main Road",,
"₹ 25,000",2 BHK Builder Floor for rent in Chittaranjan Park 126 sqyrd,,,2 out of 3 Floors,Semi-Furnished,Bachelors/Family,2,1,Immediately,,,1 Open,
"₹ 15,000",2 BHK House for rent in Kalkaji Extention 600 sqft,,,2 out of 3 Floors,Semi-Furnished,Bachelors/Family,1,1,Immediately,North - East,Garden/Park,1 Open,
"₹ 38,000","3 BHK Apartment for rent in Nagarjuna Apartments, Mayur Vihar 1 1510 sqft",28.5853760153873,77.3008419125549,,,,,,,,,,
₹ 1.1 Lac,3 BHK Builder Floor for rent in Panchsheel Enclave 3600 sqft,28.545190811157227,77.22933197021484,Ground out of 4 Floors,Semi-Furnished,Bachelors/Family,3,3,Immediately,East,Garden/Park,2 Covered,
"₹ 16,000",3 BHK Apartment for rent in Saket 1600 sqft,28.523548126220703,77.20889282226562,1 out of 4 Floors,Semi-Furnished,Bachelors/Family,3,3,Immediately,,,,
"₹ 20,000",3 BHK Builder Floor for rent in Laxmi Nagar 1000 sqft,28.635967254638672,77.26956176757812,1 out of 4 Floors,Furnished,Bachelors,2,2,Immediately,North - East,"Garden/Park, Main Road",,
"₹ 70,000",3 BHK Builder Floor for rent in East Of Kailash 200 sqyrd,,,2 out of 3 Floors,Unfurnished,Bachelors/Family,3,2,Immediately,East,Garden/Park,,
"₹ 25,500",3 BHK Apartment for rent in Patparganj 1400 sqft,28.632408142089844,77.30240631103516,,Unfurnished,Bachelors,2,2,Immediately,East,"Garden/Park, Main Road",,
"₹ 25,700","3 BHK Apartment for rent in Indraprastha Extension, Patparganj 1550 sqft",28.63465118408203,77.30498504638672,4 out of 7 Floors,Unfurnished,Bachelors/Family,3,4,Immediately,East,Garden/Park,,
"₹ 24,000",2 BHK Builder Floor for rent in Lajpat Nagar 1 900 sqft,28.575746536254883,77.24215698242188,3 out of 3 Floors,Unfurnished,Bachelors,2,2,Immediately,North,Garden/Park,,
₹ 1 Lac,3 BHK Builder Floor for rent in Greater Kailash 1 300 sqyrd,28.55557632446289,77.23369598388672,Ground out of 3 Floors,Unfurnished,Bachelors,3,2,Immediately,East,Main Road,,
"₹ 45,000","3 BHK Builder Floor for rent in Mount Kailash, East Of Kailash Block E 1100 sqft",28.553136572511,77.246954,,,,,,,,,,
"₹ 10,000",1 BHK Builder Floor for rent in Kalkaji,,,1 out of 3 Floors,Semi-Furnished,Bachelors/Family,1,1,Immediately,North,"Garden/Park, Main Road",1 Open,
"₹ 15,000",1 BHK Builder Floor for rent in Kalkaji,,,1 out of 3 Floors,Furnished,Bachelors/Family,1,1,Immediately,North,"Garden/Park, Main Road",1 Open,
"₹ 20,000",2 BHK Builder Floor for rent in Kalkaji 901 sqft,,,2 out of 3 Floors,Semi-Furnished,Bachelors/Family,2,2,Immediately,North - West,"Garden/Park, Main Road","1 Covered, 1 Open",
"₹ 35,000",3 BHK Builder Floor for rent in Kalkaji 150 sqyrd,,,Ground out of 3 Floors,Semi-Furnished,Bachelors/Family,2,1,Immediately,North - East,"Garden/Park, Main Road","1 Covered, 1 Open",
"₹ 35,000",2 BHK House for rent in Kalkaji 1081 sqft,,,1 out of 3 Floors,Semi-Furnished,Bachelors/Family,2,2,Immediately,North - East,"Garden/Park, Main Road","1 Covered, 1 Open",
"₹ 38,000","3 BHK House for rent in Gangotri Enclave, Alaknanda 1400 sqft",,,Ground out of 3 Floors,Semi-Furnished,Bachelors/Family,2,2,Immediately,East,"Garden/Park, Main Road","1 Covered, 1 Open",
"₹ 14,000",1 BHK Apartment for rent in Rohini Sector 18,28.74116325378418,77.13461303710938,Ground out of 3 Floors,Semi-Furnished,Bachelors/Family,1,1,Immediately,,,,
"₹ 55,000","3 BHK Builder Floor for rent in Hauz Khas Enclave, Hauz Khas 1800 sqft",,,1 out of 4 Floors,Unfurnished,Bachelors,3,3,Immediately,North,Garden/Park,1 Covered,
₹ 1.1 Lac,3 BHK Builder Floor for rent in Panchsheel Park 1950 sqft,28.54358673095703,77.21442413330078,1 out of 4 Floors,Unfurnished,Bachelors/Family,3,2,Immediately,North - East,"Garden/Park, Main Road","1 Covered, 1 Open",
₹ 1.5 Lac,4 BHK Builder Floor for rent in Panchsheel Park 3000 sqft,28.543346405029297,77.21068572998047,1 out of 3 Floors,Semi-Furnished,Bachelors,4,,Immediately,East,"Garden/Park, Main Road",1 Open,
"₹ 9,000","1 BHK Apartment for rent in Govindpuri Extension, Kalkaji",,,1 out of 9 Floors,Unfurnished,Bachelors/Family,1,,Immediately,,,,
"₹ 40,000",2 BHK Builder Floor for rent in Chittaranjan Park 1250 sqft,28.537872314453125,77.24923706054688,1 out of 4 Floors,Furnished,Bachelors,2,2,Immediately,South -West,"Garden/Park, Main Road",,
"₹ 30,000","3 BHK Builder Floor for rent in Kundan Nagar, Laxmi Nagar 900 sqft",28.642210006713867,77.27643585205078,2 out of 4 Floors,Furnished,Bachelors,2,1,Immediately,West,Main Road,,
"₹ 10,000",1 BHK Apartment for rent in Saket,28.523548126220703,77.20889282226562,1 out of 4 Floors,Semi-Furnished,Bachelors,1,1,Immediately,,Garden/Park,,
"₹ 60,000",3 BHK Builder Floor for rent in Greater Kailash 1 1700 sqft,,,1 out of 3 Floors,Semi-Furnished,Bachelors/Family,3,2,Immediately,South - East,"Garden/Park, Main Road","1 Covered, 1 Open",
"₹ 5,000","2 BHK House for rent in Shakarpur Khas, Shakarpur 400 sqft",,,Ground out of 1 Floor,Unfurnished,Bachelors/Family,1,,Immediately,,,,
"₹ 60,000","3 BHK Apartment for rent in DDA Flats Sector D Pocket 7, Vasant Kunj 1300 sqft",28.529971,77.145426,,,,,,,,,,
"₹ 15,000",2 BHK Apartment for rent in Saket 950 sqft,28.523548126220703,77.20889282226562,1 out of 4 Floors,Semi-Furnished,Bachelors,2,1,Immediately,,Garden/Park,,
"₹ 30,000","3 BHK Builder Floor for rent in Kiran Vihar, Anand Vihar 1600 sqft",28.65350341796875,77.30101013183594,4 out of 4 Floors,Semi-Furnished,Bachelors/Family,2,2,Immediately,North - East,"Pool, Garden/Park, Main Road",,
"₹ 30,000",3 BHK Apartment for rent in Ranfal chowk 115 sqyrd,,,1 out of 4 Floors,Furnished,Bachelors/Family,3,,Immediately,,,,
"₹ 40,000",4 BHK Builder Floor for rent in Rajouri Garden 2000 sqft,28.70779800415039,77.08307647705078,2 out of 2 Floors,Semi-Furnished,Bachelors,3,1,Immediately,North - East,"Garden/Park, Main Road",,
"₹ 15,000",Studio Apartment for rent in Lajpat Nagar 1,28.575746536254883,77.24215698242188,Ground out of 4 Floors,Unfurnished,Bachelors/Family,1,1,Immediately,East,Garden/Park,,
"₹ 39,000",3 BHK Builder Floor for rent in Greater Kailash 1800 sqft,,,1 out of 3 Floors,Semi-Furnished,Bachelors/Family,3,2,Immediately,,Garden/Park,,
"₹ 25,000",2 BHK Builder Floor for rent in Lajpat Nagar 4 900 sqft,28.5669468,77.219678,1 out of 3 Floors,Semi-Furnished,Bachelors/Family,2,2,Immediately,,Garden/Park,1 Open,
"₹ 35,000",3 BHK Builder Floor for rent in Vivek Vihar 180 sqyrd,,,2 out of 2 Floors,Furnished,Bachelors/Family,2,2,Immediately,North - West,"Garden/Park, Main Road",1 Open,
"₹ 16,000","2 BHK Apartment for rent in Basai Darapur, Bali Nagar 1000 sqft",28.656160354614258,77.1336669921875,1 out of 3 Floors,Unfurnished,Bachelors/Family,2,,Immediately,,Main Road,,
"₹ 9,500",1 BHK Builder Floor for rent in Hari Nagar,,,1 out of 1 Floor,Unfurnished,Bachelors,1,1,Immediately,North - East,Garden/Park,,
"₹ 14,000",1 BHK Builder Floor for rent in Dwarka Sector 19,,,Ground out of 4 Floors,Semi-Furnished,Bachelors/Family,1,1,Immediately,North - East,"Garden/Park, Main Road",1 Open,
"₹ 27,500",2 BHK Apartment for rent in Malviya Nagar 900 sqft,28.5348300933838,77.2097778320312,1 out of 3 Floors,Semi-Furnished,Bachelors,2,2,Immediately,South - East,Garden/Park,1 Open,
"₹ 27,000",2 BHK Apartment for rent in Malviya Nagar 900 sqft,28.5348300933838,77.2097778320312,Ground out of 4 Floors,Semi-Furnished,Bachelors,2,2,Immediately,North,Garden/Park,1 Open,
"₹ 18,000",1 BHK Builder Floor for rent in Nehru Place,,,3 out of 4 Floors,Furnished,Bachelors/Family,1,,Immediately,,,,
"₹ 75,000","3 BHK Apartment for rent in DDA Flats Sector C Pocket 9, Vasant Kunj 1400 sqft",28.5339195,77.1502521,,,,,,,,,,
"₹ 5,500","1 BHK Builder Floor for rent in Sewak Park, Dwarka",,,1 out of 2 Floors,Unfurnished,Bachelors/Family,1,,Immediately,,,,
"₹ 9,000",1 BHK House for rent in Govindpuri Main,,,3 out of 4 Floors,Unfurnished,Bachelors/Family,1,,Immediately,,,,
"₹ 14,000",2 BHK House for rent in Uttam Nagar 600 sqft,28.621288299560547,77.05307006835938,2 out of 4 Floors,Semi-Furnished,Bachelors/Family,1,,Immediately,,,,
"₹ 13,500","2 BHK Builder Floor for rent in Chhattarpur Enclave Phase1, Chhattarpur 750 sqft",28.50499153137207,77.1823959350586,4 out of 4 Floors,Semi-Furnished,Bachelors,2,1,Immediately,North - East,Main Road,1 Open,
"₹ 50,000",1 BHK Builder Floor for rent in Gulmohar Park,,,3 out of 4 Floors,Furnished,Bachelors/Family,2,2,Immediately,East,Garden/Park,1 Open,
"₹ 25,000","2 BHK Builder Floor for rent in Anupam Enclave, Saket 1050 sqft",28.517317,77.205973,,,,,,,,,,
"₹ 20,000","3 BHK House for rent in Sharda Puri, Ramesh Nagar 900 sqft",,,4 out of 4 Floors,Semi-Furnished,Bachelors/Family,2,,Immediately,,,,
₹ 1.3 Lac,4 BHK Builder Floor for rent in Gulmohar Park 2800 sqft,28.55706024169922,77.21258544921875,3 out of 4 Floors,Unfurnished,Bachelors,4,3,Immediately,North - East,"Main Road, Garden/Park, Pool","2 Covered, 1 Open",
"₹ 20,000",3 BHK House for rent in Rohini Sector 7 96 sqm,,,2 out of 3 Floors,Semi-Furnished,Bachelors/Family,2,3,Immediately,South - East,,1 Open,
"₹ 26,000",3 BHK Apartment for rent in Mayur Vihar 1 1100 sqft,28.605365753173828,77.29544067382812,2 out of 3 Floors,Semi-Furnished,Bachelors/Family,2,2,Immediately,North,Garden/Park,,
"₹ 64,000",3 BHK Builder Floor for rent in Green Park 2700 sqft,,,1 out of 3 Floors,Unfurnished,Bachelors/Family,3,3,Immediately,North,Garden/Park,"1 Covered, 1 Open",
"₹ 7,000",1 BHK House for rent in Tri Nagar,28.68445587158203,77.15396118164062,1 out of 3 Floors,Unfurnished,Bachelors/Family,1,,Immediately,,,,
₹ 1.6 Lac,"6 BHK Builder Floor for rent in Navjivan Vihar, Adchini 5400 sqft",,,3 out of 4 Floors,Semi-Furnished,Bachelors/Family,6,2,Immediately,,,4 Covered,
"₹ 45,000",2 BHK Builder Floor for rent in Chittaranjan Park,28.537872314453125,77.24923706054688,2 out of 3 Floors,Furnished,Bachelors/Family,2,2,Immediately,East,Garden/Park,,
"₹ 33,000",2 BHK Apartment for rent in Vasant Kunj 1250 sqft,28.523788452148438,77.14756774902344,,Semi-Furnished,Bachelors,2,1,Immediately,East,"Garden/Park, Main Road",2 Open,
"₹ 5,000","2 BHK Builder Floor for rent in Chander Vihar, Nilothi 585 sqft",,,1 out of 5 Floors,Unfurnished,Bachelors/Family,1,,Immediately,,,1 Open,
₹ 2.3 Lac,"4 BHK Builder Floor for rent in Maharani Bagh, New Friends Colony 4500 sqft",28.5722846984863,77.2629547119141,1 out of 1 Floor,Semi-Furnished,Bachelors/Family,3,5,Immediately,North - East,"Garden/Park, Pool","2 Covered, 5 Open",
