price,title,latitude,longitude,floor,furnishing,tenants preferred,bathroom,balcony,availability,facing,overlooking,car parking,owner resides,curr_mark,hasLac,inr_pmo,usd_pmo
"₹ 18,000",3 BHK Apartment for rent in Dwarka Sector 16A 1320 sqft,28.602684,77.0432335,2 out of 4 Floors,Semi-Furnished,Bachelors/Family,3,,Immediately,,,,,₹,False,18000.0,252.4
"₹ 14,000",1 BHK Builder Floor for rent in Pitampura,28.70074844360352,77.14403533935547,Ground out of 4 Floors,Semi-Furnished,Bachelors/Family,1,,Immediately,North,"Garden/Park, Main Road",1 Open,,₹,False,14000.0,196.31
"₹ 41,000","2 BHK Apartment for rent in Safdarjung Development Area, Hauz Khas 1000 sqft",28.54878234863281,77.19900512695312,1 out of 3 Floors,Unfurnished,Bachelors,2,2,Immediately,North - East,"Garden/Park, Main Road",,,₹,False,41000.0,574.9
"₹ 33,000","3 BHK Apartment for rent in Rajnigandha Apartments, Dwarka Sector 10 1800 sqft",28.5831769305404,77.06247445332599,,,,,,,,,,,₹,False,33000.0,462.73
"₹ 55,000","3 BHK Apartment for rent in Shivalik, Malviya Nagar 1800 sqft",28.5344181060791,77.20816040039062,1 out of 3 Floors,Furnished,Bachelors,3,2,Immediately,North - East,"Garden/Park, Main Road",,,₹,False,55000.0,771.21
"₹ 8,000",2 BHK House for rent in Nangli Sakrawati 50 sqyrd,28.61961575,77.00170016381912,2 out of 3 Floors,Unfurnished,Bachelors/Family,2,,Immediately,,,,,₹,False,8000.0,112.18
"₹ 16,000","2 BHK Builder Floor for rent in Khirki extension, Malviya Nagar 750 sqft",28.53260040283203,77.21614837646484,2 out of 4 Floors,Semi-Furnished,Bachelors,2,1,Immediately,North - East,Main Road,,,₹,False,16000.0,224.35
"₹ 17,000",1 BHK Builder Floor for rent in Ramesh Nagar,28.64933586120605,77.13431549072266,1 out of 4 Floors,Semi-Furnished,Bachelors/Family,1,1,Immediately,North - East,"Garden/Park, Main Road",,,₹,False,17000.0,238.37
"₹ 25,000",2 BHK Builder Floor for rent in Chittaranjan Park 126 sqyrd,28.5387523,77.2492493451557,2 out of 3 Floors,Semi-Furnished,Bachelors/Family,2,1,Immediately,,,1 Open,,₹,False,25000.0,350.55
"₹ 15,000",2 BHK House for rent in Kalkaji Extention 600 sqft,19.0912186,72.9059976,2 out of 3 Floors,Semi-Furnished,Bachelors/Family,1,1,Immediately,North - East,Garden/Park,1 Open,,₹,False,15000.0,210.33
"₹ 38,000","3 BHK Apartment for rent in Nagarjuna Apartments, Mayur Vihar 1 1510 sqft",28.5853760153873,77.3008419125549,,,,,,,,,,,₹,False,38000.0,532.84
₹ 1.1 Lac,3 BHK Builder Floor for rent in Panchsheel Enclave 3600 sqft,28.54519081115723,77.22933197021484,Ground out of 4 Floors,Semi-Furnished,Bachelors/Family,3,3,Immediately,East,Garden/Park,2 Covered,,₹,True,1.1,1542.42
"₹ 16,000",3 BHK Apartment for rent in Saket 1600 sqft,28.523548126220703,77.20889282226562,1 out of 4 Floors,Semi-Furnished,Bachelors/Family,3,3,Immediately,,,,,₹,False,16000.0,224.35
"₹ 20,000",3 BHK Builder Floor for rent in Laxmi Nagar 1000 sqft,28.635967254638672,77.26956176757812,1 out of 4 Floors,Furnished,Bachelors,2,2,Immediately,North - East,"Garden/Park, Main Road",,,₹,False,20000.0,280.44
"₹ 70,000",3 BHK Builder Floor for rent in East Of Kailash 200 sqyrd,28.557032200000002,77.24461392068525,2 out of 3 Floors,Unfurnished,Bachelors/Family,3,2,Immediately,East,Garden/Park,,,₹,False,70000.0,981.54
"₹ 25,500",3 BHK Apartment for rent in Patparganj 1400 sqft,28.632408142089844,77.30240631103516,,Unfurnished,Bachelors,2,2,Immediately,East,"Garden/Park, Main Road",,,₹,False,25500.0,357.56
"₹ 25,700","3 BHK Apartment for rent in Indraprastha Extension, Patparganj 1550 sqft",28.63465118408203,77.30498504638672,4 out of 7 Floors,Unfurnished,Bachelors/Family,3,4,Immediately,East,Garden/Park,,,₹,False,25700.0,360.37
"₹ 24,000",2 BHK Builder Floor for rent in Lajpat Nagar 1 900 sqft,28.575746536254886,77.24215698242188,3 out of 3 Floors,Unfurnished,Bachelors,2,2,Immediately,North,Garden/Park,,,₹,False,24000.0,336.53
₹ 1 Lac,3 BHK Builder Floor for rent in Greater Kailash 1 300 sqyrd,28.55557632446289,77.23369598388672,Ground out of 3 Floors,Unfurnished,Bachelors,3,2,Immediately,East,Main Road,,,₹,True,,
"₹ 45,000","3 BHK Builder Floor for rent in Mount Kailash, East Of Kailash Block E 1100 sqft",28.553136572511,77.246954,,,,,,,,,,,₹,False,45000.0,630.99
"₹ 10,000",1 BHK Builder Floor for rent in Kalkaji,28.5370703,77.2618051,1 out of 3 Floors,Semi-Furnished,Bachelors/Family,1,1,Immediately,North,"Garden/Park, Main Road",1 Open,,₹,False,10000.0,140.22
"₹ 15,000",1 BHK Builder Floor for rent in Kalkaji,28.5370703,77.2618051,1 out of 3 Floors,Furnished,Bachelors/Family,1,1,Immediately,North,"Garden/Park, Main Road",1 Open,,₹,False,15000.0,210.33
"₹ 20,000",2 BHK Builder Floor for rent in Kalkaji 901 sqft,28.5370703,77.2618051,2 out of 3 Floors,Semi-Furnished,Bachelors/Family,2,2,Immediately,North - West,"Garden/Park, Main Road","1 Covered, 1 Open",,₹,False,20000.0,280.44
"₹ 35,000",3 BHK Builder Floor for rent in Kalkaji 150 sqyrd,28.5370703,77.2618051,Ground out of 3 Floors,Semi-Furnished,Bachelors/Family,2,1,Immediately,North - East,"Garden/Park, Main Road","1 Covered, 1 Open",,₹,False,35000.0,490.77
"₹ 35,000",2 BHK House for rent in Kalkaji 1081 sqft,28.5370703,77.2618051,1 out of 3 Floors,Semi-Furnished,Bachelors/Family,2,2,Immediately,North - East,"Garden/Park, Main Road","1 Covered, 1 Open",,₹,False,35000.0,490.77
"₹ 38,000","3 BHK House for rent in Gangotri Enclave, Alaknanda 1400 sqft",,,Ground out of 3 Floors,Semi-Furnished,Bachelors/Family,2,2,Immediately,East,"Garden/Park, Main Road","1 Covered, 1 Open",,₹,False,38000.0,532.84
"₹ 14,000",1 BHK Apartment for rent in Rohini Sector 18,28.74116325378418,77.13461303710938,Ground out of 3 Floors,Semi-Furnished,Bachelors/Family,1,1,Immediately,,,,,₹,False,14000.0,196.31
"₹ 55,000","3 BHK Builder Floor for rent in Hauz Khas Enclave, Hauz Khas 1800 sqft",28.5442564,77.2067072,1 out of 4 Floors,Unfurnished,Bachelors,3,3,Immediately,North,Garden/Park,1 Covered,,₹,False,55000.0,771.21
₹ 1.1 Lac,3 BHK Builder Floor for rent in Panchsheel Park 1950 sqft,28.54358673095703,77.21442413330078,1 out of 4 Floors,Unfurnished,Bachelors/Family,3,2,Immediately,North - East,"Garden/Park, Main Road","1 Covered, 1 Open",,₹,True,1.1,1542.42
₹ 1.5 Lac,4 BHK Builder Floor for rent in Panchsheel Park 3000 sqft,28.543346405029297,77.21068572998047,1 out of 3 Floors,Semi-Furnished,Bachelors,4,,Immediately,East,"Garden/Park, Main Road",1 Open,,₹,True,1.5,2103.3
"₹ 9,000","1 BHK Apartment for rent in Govindpuri Extension, Kalkaji",,,1 out of 9 Floors,Unfurnished,Bachelors/Family,1,,Immediately,,,,,₹,False,9000.0,126.2
"₹ 40,000",2 BHK Builder Floor for rent in Chittaranjan Park 1250 sqft,28.537872314453125,77.24923706054688,1 out of 4 Floors,Furnished,Bachelors,2,2,Immediately,South -West,"Garden/Park, Main Road",,,₹,False,40000.0,560.88
"₹ 30,000","3 BHK Builder Floor for rent in Kundan Nagar, Laxmi Nagar 900 sqft",28.64221000671387,77.27643585205078,2 out of 4 Floors,Furnished,Bachelors,2,1,Immediately,West,Main Road,,,₹,False,30000.0,420.66
"₹ 10,000",1 BHK Apartment for rent in Saket,28.523548126220703,77.20889282226562,1 out of 4 Floors,Semi-Furnished,Bachelors,1,1,Immediately,,Garden/Park,,,₹,False,10000.0,140.22
"₹ 60,000",3 BHK Builder Floor for rent in Greater Kailash 1 1700 sqft,31.8164399,75.2218363,1 out of 3 Floors,Semi-Furnished,Bachelors/Family,3,2,Immediately,South - East,"Garden/Park, Main Road","1 Covered, 1 Open",,₹,False,60000.0,841.32
"₹ 5,000","2 BHK House for rent in Shakarpur Khas, Shakarpur 400 sqft",,,Ground out of 1 Floor,Unfurnished,Bachelors/Family,1,,Immediately,,,,,₹,False,5000.0,70.11
"₹ 60,000","3 BHK Apartment for rent in DDA Flats Sector D Pocket 7, Vasant Kunj 1300 sqft",28.529971000000003,77.145426,,,,,,,,,,,₹,False,60000.0,841.32
"₹ 15,000",2 BHK Apartment for rent in Saket 950 sqft,28.523548126220703,77.20889282226562,1 out of 4 Floors,Semi-Furnished,Bachelors,2,1,Immediately,,Garden/Park,,,₹,False,15000.0,210.33
"₹ 30,000","3 BHK Builder Floor for rent in Kiran Vihar, Anand Vihar 1600 sqft",28.65350341796875,77.30101013183594,4 out of 4 Floors,Semi-Furnished,Bachelors/Family,2,2,Immediately,North - East,"Pool, Garden/Park, Main Road",,,₹,False,30000.0,420.66
"₹ 30,000",3 BHK Apartment for rent in Ranfal chowk 115 sqyrd,,,1 out of 4 Floors,Furnished,Bachelors/Family,3,,Immediately,,,,,₹,False,30000.0,420.66
"₹ 40,000",4 BHK Builder Floor for rent in Rajouri Garden 2000 sqft,28.70779800415039,77.08307647705078,2 out of 2 Floors,Semi-Furnished,Bachelors,3,1,Immediately,North - East,"Garden/Park, Main Road",,,₹,False,40000.0,560.88
"₹ 15,000",Studio Apartment for rent in Lajpat Nagar 1,28.575746536254886,77.24215698242188,Ground out of 4 Floors,Unfurnished,Bachelors/Family,1,1,Immediately,East,Garden/Park,,,₹,False,15000.0,210.33
"₹ 39,000",3 BHK Builder Floor for rent in Greater Kailash 1800 sqft,31.8164399,75.2218363,1 out of 3 Floors,Semi-Furnished,Bachelors/Family,3,2,Immediately,,Garden/Park,,,₹,False,39000.0,546.86
"₹ 25,000",2 BHK Builder Floor for rent in Lajpat Nagar 4 900 sqft,28.5669468,77.219678,1 out of 3 Floors,Semi-Furnished,Bachelors/Family,2,2,Immediately,,Garden/Park,1 Open,,₹,False,25000.0,350.55
